id,profile,category,obligation,source,lean_target,status,severity,evidence,notes
PO-002,SPX-TW-ABS,security,Require positive formula-derived target caps,Repaired tight proof,SLHDSA.Security.targetCount_pos,discharged,critical,All eight role caps are proved positive,Actual traces may be shorter or empty
PO-003,SPX-TW-ABS,security,Couple reduction public seed to the attacked key,CMA experiment,SLHDSA.Security.SchemeInterface,open,critical,Conditional construction interface exists,No reduction coupling law
PO-004,SPX-TW-ABS,security,Derive a bounded ITSR loss,CCS 2019 Definition 18,SLHDSA.Security.ITSR,open,high,ITSR game is modeled,No proved loss coefficient
PO-005,SPX-TW-ABS,instrumentation,Enforce qS and qH predicates,VCVio QueryTracking,SLHDSA.Security.AdversaryBounds,provisional,high,Structural predicates constrain the adversary,Internal and outer runtime accounting remain
PO-006,SPX-TW-ABS,security,Model Hmsg ITSR and Tl roles,Repaired tight proof,SLHDSA.Security.Notions and SLHDSA.Security.CanonicalGames,provisional,critical,Canonical problem types are present,Concrete reductions remain open
PO-007,SPX-TW-ABS,encoding,Prove yToBytes coherence,FIPS byte semantics,SLHDSA.Primitives.ByteLaws,discharged,high,Injectivity bundle and concrete family witnesses elaborate,No cryptographic assumption is added
PO-008,SPX-TW-ABS,security,Use challenger-owned target distributions,Repaired component games,SLHDSA.Security.CanonicalGames,provisional,critical,Standalone source-shaped games are modeled,Experiment equivalences remain open
PO-009,SPX-TW-ABS,asymptotics,Prove polynomial bounds and negligibility,VCVio asymptotics,SLHDSA.Security.Asymptotics,open,high,No parameter-family theorem,Finite approved-set values are separate
PO-010,FIPS205-12,parameters,Validate the all-profile parameter table,FIPS 205 Table 2,SLHDSA.ParameterSet,discharged,high,All twelve rows and sizes are checked,Legacy profile is excluded
PO-011,FIPS205-12,encoding,Prove big-endian extraction and rejection,FIPS 205 Algorithms 2-4,SLHDSA.Encoding,discharged,high,MSB laws roundtrips and malformed-length fixtures,Semantic external codecs remain open
PO-012,FIPS205-12,construction,Retain depth-one compatibility,FIPS 205 Algorithms 12-13,SLHDSA.DepthOneCompatibility.sign_toOneLayer_eq,discharged,high,Deterministic output and verification compatibility are proved,General trace includes discarded recovery
PO-013,FIPS205-12,api,Prove external pure and pre-hash correctness,FIPS 205 Section 10,SLHDSA.API,open,high,Internal completeness is proved,Context OID modes codecs and rejection remain
PO-014,LEGACY-SHA2-128-24,correctness,Maintain concrete perfect completeness,Repository regression,SLHDSA.Concrete.shaPrimitives_perfectlyComplete,provisional,medium,Kernel root and runtime regression,Not FIPS or security evidence
PO-015,C13-ETH,correctness,Audit conditional grind correctness,C13 source unresolved,SLHDSA.C13.slhVerifyInternal_slhSignInternal,blocked,high,Conditional theorem only,Primary C13 source is not pinned
PO-016,DEPLOY-TBD,refinement,Prove executable-to-deployment refinement,Deployment source unresolved,Deployment.Refines,blocked,critical,No selected target,Repository ABI and toolchain required
PO-017,FIPS205-12,primitives,Refine abstract primitives to SHA2 and SHAKE,FIPS 205 Section 11,SLHDSA.Concrete.approvedPrimitives,provisional,high,Standard vectors and all-profile grammars pass,General mathematical refinement remains
PO-018,FIPS205-12,construction,Implement WOTS checksum and retain recovery,FIPS 205 Algorithms 5-8,SLHDSA.wotsPkFromSig_wotsSign,discharged,high,Byte digits equal mathematical digits and all-profile recovery passes,Not KAT or reduction evidence
PO-019,FIPS205-12,construction,Bound XMSS paths and retain recovery and binding,FIPS 205 Algorithms 9-11,SLHDSA.XmssConformance.xmssPkFromSigBounded_xmssSignBounded,discharged,high,Typed paths sibling climb checked addresses recovery and binding elaborate,Canonical algorithm retained
PO-020,FIPS205-12,position,Integrate digest split and layer trajectory,FIPS 205 Algorithms 19-20,SLHDSA.LayerPosition.next,discharged,high,Exact extents bounds and trajectories elaborate,Used by FORS and general hypertree
PO-021,FIPS205-12,construction,Prove arbitrary-depth hypertree correctness,FIPS 205 Algorithms 12-13,SLHDSA.GeneralHypertree.pkFromSig_sign,discharged,high,Honest recovery root and verification theorems elaborate,Typed construction remains canonical
PO-022,FIPS205-12,api,Prove internal general-scheme completeness,FIPS 205 Algorithms 18-20,SLHDSA.GeneralScheme.verifyInternal_signInternal,discharged,high,Pure and fixed-answer completeness elaborate,External API is PO-013
PO-023,FIPS205-12,construction,Complete FORS conformance slice,FIPS 205 Section 8,SLHDSA.forsPkFromSig_forsSign,discharged,high,Typed decoder addresses toy exhaustion all-profile checks and bounded runtimes,Not ACVP trace or reduction evidence
PO-024,FIPS205-12,refinement,Relate callback With loops to query and pure layers,Construction layering,SLHDSA.GeneralHypertree.signFromPositionWith_eq_signFromPositionM,discharged,medium,Exact XMSS and arbitrary-depth callback-to-query equations plus fixed-answer pure corollaries elaborate,Depth-one discarded recovery is preserved explicitly
PO-025,SPX-TW-ABS,security,Bound same-message SUF residual,Strong unforgeability partition,SLHDSA.Security.sameMessageAdvantage,open,critical,Exact additive partition is proved,Residual has no negligible bound
PO-026,SPX-TW-ABS,security,Connect canonical games ledgers and actual queries,Repaired component reductions,SLHDSA.Security.CanonicalGames and SLHDSA.Security.TraceTargets,open,critical,WOTS structural trace containment is proved,Counting reductions outer log other traces pairing and master inequality remain
