id,profile,assumption,kind,scope,status,discharge,evidence,notes
ASM-001,SPX-TW-ABS,Standard Lean logical axioms in current roots,toolchain,Lean logic,accepted,Keep exact permanent axiom footprints,scripts/slhdsa/AxiomAudit.lean,Not a cryptographic assumption
ASM-002,SPX-TW-ABS,PRF and PRFmsg hardness,cryptographic,Master theorem,proposed,Construct and prove exact reductions,Security game interfaces,No hardness theorem claimed
ASM-003,SPX-TW-ABS,Tweakable-hash TCR DSPR PRE and UD-C hardness,cryptographic,Master theorem,proposed,Construct and prove exact reductions,Canonical component games,Events and advantages are definitions only
ASM-004,SPX-TW-ABS,Hmsg ITSR hardness,cryptographic,Master theorem,proposed,Prove post-hop reduction and digest correspondence,Security.Notions and Architecture,No concrete reduction
ASM-005,SPX-TW-ABS,Quantum oracle access semantics,modeling,QROM claim,blocked,Implement a quantum semantic layer,None in current classical semantics,PQ intent is not QROM mechanization
ASM-006,FIPS205-12,Concrete SHA2 and SHAKE code matches standards,implementation,Primitive behavior,proposed,Prove general abstract-to-concrete refinement,Standard vectors and grammar fingerprints,Executable evidence is not certification
ASM-007,LEGACY-SHA2-128-24,Embedded vector provenance is accurate,external,Regression evidence,proposed,Pin generator revision and vector hash,HashSigTest source comments,Not NIST evidence
ASM-008,C13-ETH,C13 grind conditions terminate and match deployment,modeling,C13 signing,blocked,Pin authority and prove termination bounds,Conditional theorem only,Separate non-FIPS profile
ASM-009,DEPLOY-TBD,Deployment and ABI semantics are selected,external,Refinement,blocked,Pin target revision and environment,No target,Hard blocker
ASM-010,SPX-TW-ABS,EasyCrypt scripts verify with declared tools,external,Prior proof evidence,proposed,Rerun exact release and solvers,Pinned checkout only,Classical abstract evidence
ASM-011,FIPS205-12,NIST ACVP sample JSON matches pinned GenVal output,external,Schema evidence,proposed,Verify hashes metadata and projections,HashSigTest/SLHDSA/ACVP/fixtures/provenance.json,isSample true and not implementation conformance
ASM-012,FIPS205-12,Sequential parser attestation sees stable current artifacts,toolchain,Parser runtime gate,proposed,Use controlled worktree exact manifests descriptors and before-after hashes,scripts/slhdsa/validate.sh,Not an atomic replacement barrier and SIGKILL bypasses EXIT cleanup
