id,component,boundary,trust_reason,status,mitigation,evidence,notes
TCB-001,Lean 4.33.1,Kernel compiler and code generator,Checks proofs and emits runtime code,inherited,Pin toolchain and exact axiom/helper surfaces,lean-toolchain,Compiler matters for executable evidence
TCB-002,Mathlib and VCVio,Imported definitions and lemmas,Formal dependency base,inherited,Lock revisions and build exact dependencies,lake-manifest.json,Review semantic API changes
TCB-004,Pure Lean SHA2 SHAKE and Keccak,Runtime primitives,Executable code lacks general refinement theorem,provisional,Standard vectors boundaries and future refinement,HashSig/SLHDSA/Concrete/,C13 Keccak remains non-FIPS
TCB-005,Embedded and derived vectors,Regression oracle,Generation is external,provisional,Pin provenance hashes and derivations,HashSigTest modules,Not ACVP certification
TCB-006,NIST and ACVP authority metadata,Normative classification and sample evidence,External publications and tooling evolve,provisional,Pin exact records bytes revisions and matrix corpus,scripts/slhdsa/check-harness.py,Sample JSON only and issue 469 remains
TCB-007,EasyCrypt Z3 and Alt-Ergo,External abstract security evidence,Separate proof assistant and solver stack,provisional,Rerun exact declared versions,FV-SPHINCSPLUS-EC README,Not byte-level refinement
TCB-008,Future deployment toolchain,Executable-to-deployment boundary,Compiler extractor ABI and runtime are unknown,blocked,Pin and audit complete chain,None,No deployment claim
TCB-009,Permanent curated AxiomAudit roots,Load-bearing exact footprint inventory,A future semantic root could be omitted,provisional,Keep 177 unique exact roots synchronized and pair with PolicyAudit,scripts/slhdsa/AxiomAudit.lean and scripts/slhdsa/PolicyAudit.lean,Exact footprints are stronger than no-admission checks but curation remains trusted
TCB-010,Lean 4.33.1 generated unsafe recursion,Runtime implementation of 17 named recursive parents,Compiler emits unsafe helper constants,provisional,Pin exact helper-parent ownership and privileged-surface absence,scripts/slhdsa/PolicyAudit.lean,Helpers are code generation from safe construction/query definitions
TCB-011,Lean standard logical axioms,Transitive footprint of HashSig declarations,Current allowed union is propext Classical.choice and Quot.sound,inherited,Reject every other transitive axiom,scripts/slhdsa/PolicyAudit.lean,No admission exception
TCB-012,Lean persistent compiler extensions,Initializer extern and runtime-override entries,Environment mutation can target foreign declarations,provisional,Audit ordinary and IR arrays by static meta-import with extension loading disabled (`loadExts=false`),scripts/slhdsa/PolicyAudit.lean,Static scanner and meta audit are complementary
TCB-013,Installed Lake Python shell SHA256 and Linux descriptors,Fresh parser build and exact execution,External tooling and reused dependency artifacts remain trusted,provisional,Private root exact manifest no-follow descriptors hash binding and cleanup restoration,scripts/slhdsa/check-harness.py and scripts/slhdsa/validate.sh,Sequential check is not atomic and SIGKILL cannot run EXIT traps
