id,profile,layer,claim,primary_source,source_locator,current_artifact,current_status,target_status,evidence,notes
COV-001,FIPS205-12,parameters,All 12 approved parameter sets,FIPS 205,Table 2,HashSig/SLHDSA/Params.lean,covered,required,Closed family and derived-size proofs plus runtime table comparison,Legacy reduced profile is excluded
COV-002,FIPS205-12,encoding,FIPS big-endian base_2b and FORS indices,FIPS 205,Algorithms 4 16 17,HashSig/SLHDSA/Encoding.lean and HashSig/SLHDSA/ForsConformance.lean,covered,required,MSB characterization exact widths bounds and incompatibility fixtures,Construction decoder uses typed DigestParts.md
COV-003,FIPS205-12,hypertree,Depth-one compatibility,FIPS 205,Algorithms 12 13,HashSig/SLHDSA/DepthOneCompatibility.lean,covered,required,Deterministic output root recovery and verification compatibility,General signing has one additional discarded-recovery trace
COV-004,FIPS205-12,api,Internal and external APIs,FIPS 205,Sections 9 10,HashSig/SLHDSA/GeneralScheme.lean,partial,required,Internal arbitrary-depth sign and verify completeness,External codecs context OID and reject behavior remain open
COV-005,FIPS205-12,conformance,ACVP keyGen sigGen sigVer implementation coverage,NIST ACVP,FIPS205 revision,HashSigTest/SLHDSA/ACVP/,missing,required,Parser and schema evidence plus exact positive-cell measurement,Sample JSON is not an implementation certificate
COV-006,SPX-TW-ABS,security,Repaired master theorem and reductions,Repaired tight proof,Classical master inequality,HashSig/SLHDSA/Security/Architecture.lean and HashSig/SLHDSA/Security/CanonicalGames.lean,partial,required,Twelve-term shape canonical problems and conditional interfaces,Counting reductions equivalences SUF residual and master proof remain open
COV-007,SPX-TW-ABS,itsr,Hmsg ITSR game,CCS 2019 and repaired proof,Hmsg post-hop game,HashSig/SLHDSA/Security/Notions.lean,partial,required,Digest targets and post-hop experiment modeled,Concrete CMA-to-ITSR correspondence remains open
COV-008,SPX-TW-ABS,query-model,Signing and hash query predicates,VCVio QueryTracking,Enforcement and cost modules,HashSig/SLHDSA/Security/OracleSurface.lean,partial,required,Structural predicates constrain actual adversary programs,Internal signer and outer-CMA accounting remain open
COV-009,LEGACY-SHA2-128-24,construction,Reduced executable verifier,Repository regression,Concrete Instance,HashSig/SLHDSA/Concrete/Instance.lean,partial,deferred,Embedded runtime regression,Not a FIPS or draft-profile claim
COV-010,LEGACY-SHA2-128-24,correctness,Abstract and concrete perfect completeness,Repository regression,Scheme and Concrete Instance,HashSig/SLHDSA/Scheme.lean,covered,deferred,Kernel-checked structural correctness,Not a security claim
COV-011,C13-ETH,construction,C13 WOTS+C FORS+C verifier,C13 source unresolved,TBD,HashSig/SLHDSA/C13/,partial,deferred,Embedded runtime regression,Separate non-FIPS profile
COV-012,C13-ETH,security,C13 signature game and reduction,C13 source unresolved,TBD,HashSig/SLHDSA/C13/,missing,deferred,No SignatureAlg or security theorem,Requires separate authority and model
COV-013,DEPLOY-TBD,refinement,Executable bytes refine deployment,Deployment source unresolved,TBD,TBD,missing,blocked,No selected target,Repository revision ABI and toolchain are required
COV-014,SP800-230-IPD-6SET,authority,Six proposed limited-signature sets,NIST SP 800-230 IPD,Table 1,docs/slhdsa/matrices/sp800-230-ipd-profile.json,covered,deferred,Exact draft tuples status date and cap pinned,No six-set implementation claim
COV-015,FIPS205-12,primitives,SHA2 and SHAKE grammars for all profiles,FIPS 205,Section 11,HashSig/SLHDSA/Concrete/FIPS.lean,covered,required,Standard vectors boundaries fingerprints and checked addresses,General abstract-to-concrete refinement remains open
COV-016,FIPS205-12,construction,WOTS checksum signing and recovery,FIPS 205,Algorithms 5-8 and Appendix A,HashSig/SLHDSA/WotsEncoding.lean and HashSig/SLHDSA/Wots.lean,covered,required,Byte pipeline equivalence address invariants canary and all-profile recovery,Not an authoritative KAT or reduction
COV-017,FIPS205-12,construction,XMSS nodes paths signing and recovery,FIPS 205,Algorithms 9-11,HashSig/SLHDSA/XmssConformance.lean and HashSig/SLHDSA/Xmss.lean,covered,required,Typed positions intrinsic paths sibling/climb equations checked addresses and recovery,Canonical XMSS and Merkle engine remain sole semantics
COV-018,FIPS205-12,position,Digest split FORS address and layer trajectory,FIPS 205,Algorithms 19-20 and 12-13,HashSig/SLHDSA/Position.lean,covered,required,Exact extents intrinsic bounds and all-profile trajectory canaries,Consumed by FORS and arbitrary-depth construction
COV-019,FIPS205-12,hypertree,Arbitrary-depth construction correctness and bounds,FIPS 205,Algorithms 12-13,HashSig/SLHDSA/HypertreeGeneral.lean and HashSig/SLHDSA/HypertreeConformance.lean,covered,required,Typed loops honest recovery callback refinement exact trajectory checked addresses and finite query upper bounds,Concrete regressions are not security or KAT evidence
COV-020,FIPS205-12,api,General internal construction completeness,FIPS 205,Algorithms 18-20,HashSig/SLHDSA/GeneralScheme.lean and HashSig/SLHDSA/GeneralSchemeQueryBound.lean,covered,required,Internal keygen sign verify completeness and finite upper bounds,External APIs and codecs remain open
COV-021,SPX-TW-ABS,security,Exact SUF advantage partition,Classical probability semantics,Freshness partition,HashSig/SLHDSA/Security/Architecture.lean,partial,required,SUF equals EUF plus same-message advantage,Same-message residual remains unbounded
COV-022,SPX-TW-ABS,security,Reachable construction target ledgers,FIPS 205 and repaired proof,Construction address schedules,HashSig/SLHDSA/Security/ReachableTargets.lean and HashSig/SLHDSA/Security/TraceTargets.lean,partial,required,Cardinality Nodup and WOTS trace containment,Encoded pairing other trace bridges and game equivalences remain open
COV-023,FIPS205-12,construction,FORS indices addresses signing and recovery,FIPS 205,Algorithms 14-17 and Appendix A,HashSig/SLHDSA/ForsConformance.lean and HashSig/SLHDSA/Concrete/Fors.lean,covered,required,Typed decoder global sibling equations addresses toy exhaustion all-profile checks and bounded runtimes,Derived regressions are not KAT or reduction evidence
